comment_content,comment_time,no_of_likes,comments,sentiments_score,sentiments_class,sentiment_probability
其实出去的有大部分也很无辜特别是我们这样的大学生。我从12月底开始就一直关注这个，可是返乡的时候官方通报真的误导人，大家都不以为意，没想到这么严重真的对不起！我们真的不是那种有意传播病毒的人,1月26日 23:40,102.0,大部分无辜大学生12月底关注返乡官方通报真的误导不以为意没想到真的对不起真的那种有意传播病毒,NaN,0,0.999672
骂浙江人那个起劲还建群骂真是恶臭,1月26日 23:39,56.0,骂浙江人起劲建群骂恶臭,NaN,0,0.999825
而且，武汉那么多优秀的高校，给全国培养了很多出色的人才，真的很有责任心的城市。不要在乎喷子杠精秀儿的言语，理性的外省同胞都知道怎么回事。。,1月26日 23:45,41.0,武汉优秀高校全国培养出色人才真的责任心城市在乎喷子杠精秀儿言语理性外省同胞怎么回事,NaN,2,0.994556
武汉加油来自四川的祝福,1月27日 00:00,22.0,武汉加油四川祝福,NaN,2,0.998613
天上九头鸟，地上湖北佬，都加点小心吧，明知道自己有病还不带口罩出去传播，这安的什么心,1月27日 03:47,17.0,天上九头鸟地上湖北佬加点小心明有病不带口罩传播这安心,NaN,0,0.998979
我朋友一家没有离开，乖乖的待在武汉。我们很想给她寄点蔬菜过去，但她说她收不到快递希望疫苗赶快研制成功，大家都快点好起来,1月26日 23:54,19.0,朋友一家离开乖乖武汉想寄点蔬菜说收不到快递希望疫苗研制成功快点,NaN,2,0.961459
武汉市长不鸣则已一鸣惊人500万什么概念，假设一下：全国25个省市每个20万人；省市10个地域每个1万人；地域10个县区每个1千人；县区20个乡镇每个50人；乡镇10个村社每个5人；大家初二晚安，我继续躺床,1月26日 23:50,18.0,武汉市长不鸣则已一鸣惊人500万概念假设全国25省市20万人省市10地域万人地域10县区千人县区20乡镇50乡镇10村社初二晚安躺床,NaN,2,0.904577
我们都在努力做对的事我们一起等它好起来等待这座城市痊愈❤️❤️,1月27日 00:00,14.0,努力做事等待这座城市痊愈❤️❤️,NaN,NaN,NaN
我们知道所有的现在坚守在前线的都是英雄，医护人员，病人，军人等等都是英雄，都在为战胜病毒一起奋战着。坚守武汉的不要再看网上的一些喷子的言论，大多发言不太成熟，怪罪谩骂别的受害者，不如自己做好防护，不给国家添麻烦。,1月26日 23:53,10.0,坚守前线英雄医护人员病人军人英雄战胜病毒奋战坚守武汉网上喷子言论发言不太成熟怪罪谩骂受害者做好防护国家添麻烦,NaN,0,0.804296
我是留在武汉的黄冈人，放假早的话也是一样会回去过年啊，但是放假晚，号召我们不要离开武汉，那就不离开，武汉和黄冈都是我的家，都是我待了很多年的地方。我们平头百姓没有什么需要被骂的，要骂就骂明知封城了，自己生病还到处传播病毒不告知别人的那些人。,1月27日 13:01,1.0,留在武汉黄冈放假早回去过年放假晚号召离开武汉离开武汉黄冈家很多年地方平头百姓骂骂骂明知封城生病传播病毒告知,NaN,0,0.603741
我表哥是黄冈的工作没多久今年他一个人在武汉过年了,1月27日 10:52,2.0,表哥黄冈工作没多久武汉过年,NaN,2,0.990728
要不然呢,1月26日 23:54,3.0,,NaN,0,0.918402
武汉加油，来自新疆的祝福，每个群体都有害群之马，但不能代表大多数，新疆人民经历过同样的事，所以无比理解你们的处境，现在这样的境况，记得保护好自己就好，一切都会过去的～,1月27日 10:46,3.0,武汉加油新疆祝福群体害群之马代表新疆经历事无比理解处境境况记得保护,NaN,2,0.916794
加油💪我姐姐的医院已经出发去支援武汉了，期盼疫情早日得到抑制，加油武汉人民！,1月26日 23:16,3983.0,加油💪姐姐医院出发支援武汉期盼疫情早日抑制加油武汉,NaN,NaN,NaN
谢谢！真的谢谢你们。,1月26日 23:17,27.0,谢谢真的谢谢你们,NaN,2,0.996442
我弟弟今天也出发支援武汉了，还是去救治危重症患者，家里人知道消息后担心的不行，但我们相信医护人员，相信他们都是专业的，努力治好病人的同时也会保护好自己，希望全国人民一切安好，尽快度过这次难关,1月26日 23:47,27.0,弟弟出发支援武汉救治危重症患者家里人消息担心不行医护人员专业努力治好病保护希望全国安好度过难关,NaN,2,0.996183
如果我们真的对武汉人这么大敌意，就不会捐款捐物资，派那么多人上前线，志愿报名那么多人了。我们保护依然留在武汉的人，但是无法原谅带病潜逃的那些憨批我姑姑已经报名了第二批支援医生，随时出发！,1月27日 07:38,18.0,真的武汉敌意捐款捐物资派多人前线志愿报名多人保护依然留在武汉原谅带病潜逃憨批姑姑报名第二批支援医生出发,NaN,0,0.830996
谢谢你们真的大年初一来了救援队我们才稍微情绪稳定一点一点都不夸张我那些天动不动就会哭,1月27日 00:12,8.0,谢谢你们真的大年初一救援队稍微情绪稳定一点一点夸张天哭,NaN,2,0.900575
@我的宝贝女儿莹宝去了天堂:打扰了博主请您别删除我的评论感谢您，杀人恶魔宋述一手法残忍灭绝人性，惨绝人寰，自古以来杀人必须偿命，宋述一必须死刑立即执行，感恩所有的好心人关注我女儿的案子🙏，,1月27日 10:50,无,宝贝女儿莹宝天堂打扰博主请删除评论感谢您杀人恶魔宋述手法残忍灭绝人性惨绝人寰自古以来杀人偿命宋述死刑执行感恩好心人关注女儿案子🙏,NaN,NaN,NaN
我这边也是！,1月26日 23:58,无,,NaN,2,0.813108
我表姐也去武汉支援了，去之前把存款都转回家里，全家担心得要死。,1月26日 23:55,3.0,表姐武汉支援存款转回家里全家担心要死,NaN,0,0.823556
我妈妈的医院也是说实话医生家属真的难最危险的就是医院了,1月26日 23:40,6.0,妈妈医院说实话医生家属真的难危险医院,NaN,0,0.994172
我姐姐的医院也已出发去武汉了，他们医院的医生已经连续上班两天两夜还没下班呢！保佑他们！,1月27日 02:11,2.0,姐姐医院出发武汉医院医生连续上班两天两夜下班保佑,NaN,0,0.775701
非常心疼武汉人，现在人人对武汉出来的人唯恐避之不及，但绝大多数武汉人都是受害者，是那些卖和吃野味的、有病症乱跑的人连累了武汉人，希望武汉扛住，有认识的学医的朋友已经去支援了,1月27日 00:18,5.0,心疼武汉武汉唯恐避不及绝大多数武汉受害者卖吃野味病症乱跑连累武汉希望武汉扛住学医朋友支援,NaN,0,0.728171
谢谢你！真的感谢你！,1月27日 00:01,2.0,谢谢真的感谢,NaN,2,0.998581
我表姐北京协和的，因为自己是血液科，第一批请愿没被批准，但是她的老师已经带队到了武汉了，我们也整天关注疫情我是河南的今天睡醒一下子多了51例我们已经如此严重不敢想象身在武汉的同胞会有什么样的心情唯有加油没什么过不去的武汉很好我还没去过相信樱花开之前我就能订票了,1月26日 23:53,6.0,表姐北京协和血液科第一批请愿批准老师带队武汉整天关注疫情河南睡醒一下子51例想象身在武汉同胞心情加油没什么过不去武汉去过樱花开订票,NaN,2,0.70724
一定注意自身安全！保护好自己也是为国家做贡献！武汉人民爱你们,1月27日 23:50,1.0,保护国家做贡献武汉爱,NaN,2,0.936134
加油💪会过去的，全国人民都在给你们加油我们隔离的不是武汉这座城市，更不是武汉的朋友，而是病毒🦠，等到一切都过去了，我们依然爱不！现在我们也爱武汉，只是讨厌哪里的病毒，等到一切恢复平静，春暖花开我们一定还会在武汉相聚！,1月27日 06:49,1.0,加油💪全国加油隔离武汉这座城市武汉朋友病毒🦠依然爱爱武汉讨厌病毒恢复平静春暖花开还会武汉相聚,NaN,NaN,NaN
封城通知之后，利用8小时逃出来30万人怎么说？？？？真的太坏了。,1月26日 23:35,2526.0,封城通知利用小时逃出来30万人说真的太坏,NaN,0,0.999919
说的好像他们湖北的都老实在家，逃出来的都是打工的。钟南山说人传人之后，傻子都晓得事态严重。要封城之前就突然跑30万人，这样了不要说他们不知道情况严重。近日航班飞机空降杭州萧山。武汉人几百个还有发热咳嗽的，飞机上很多浙江人都不知道，下飞机就被隔离了。武汉人还骂浙江人，都被骂上热搜了。,1月27日 00:18,711.0,说好像湖北老实在家逃出来打工钟南山说传人傻子晓得事态严重封城跑30万人说情况严重近日航班飞机空降杭州萧山武汉几百个发热咳嗽飞机浙江人飞机隔离武汉骂浙江人骂热搜,NaN,0,0.999921
大数据统计平均每天都有30w人离开武汉，而所谓的八小时逃出，也未必全部人都是有意为之，可能是还很多人本来就计划好那时间段离开。,1月26日 23:54,455.0,数据统计平均30w离开武汉八小时逃出未必有意本来计划时间段离开,NaN,0,0.990562
难道不能是原本计划那两天回家过年的听到封城就赶紧趁封城前赶回去的呢?不要一棍子打死所有人。,1月26日 23:56,330.0,原本计划两天回家过年听到封城赶紧趁封城前赶回去一棍子打死所有人,NaN,0,0.988638
有计划好离开的有被亲人催促离开的有自我觉得自己没有染病离开的有像我这样被亲人关心催促离开没有离开不出门的希望武汉快点痊愈我爱我的湖北我爱我的武汉…,1月26日 23:56,259.0,计划离开亲人催促离开自我染病离开亲人关心催促离开离开出门希望武汉快点痊愈爱湖北爱武汉,NaN,2,0.900287
说实话，无法原谅22、23号出来给我们千里送毒的人，明明他们根本就不是我们这里的人也从没来过我们这里，23号到24号确诊，太恶毒了这个女人,1月27日 02:05,261.0,说实话原谅2223号千里送毒明明从没来过23号24号确诊太恶毒女人,NaN,0,0.999867
春运期间不管武汉上海北京每天有多少人离开？在除夕之前的返乡潮30万人真的正常数字被人冠了个逃难的名号,1月27日 01:30,187.0,春运期间武汉上海北京离开除夕返乡潮30万人真的数字人冠逃难名号,NaN,0,0.594422
别一直扯大部分都是学生是打工的，我没记错的话大部分省前几例都是武汉人吧,1月27日 08:09,176.0,扯大部分学生打工记错大部分省前几例武汉,NaN,0,0.933048
凭什么指责你就能保证你不会在封城前离开疫区留下来感染几率明显更大吧说这样的人自私未免也太苛刻了考验人的求生本能？,1月27日 01:30,141.0,指责保证封城前离开疫区留下来感染几率更大说自私未免太苛刻考验求生本能,NaN,0,0.999868
说了人传人，说了要封城，那就是很严重要控制了啊！跑出来就一定能活？还是你们已经放弃自己的家园了？就算有计划难道不是应该听政府指挥乖乖待在家吗！说人性至此，你们的人性就要全中国陪葬吗？没出武汉的人就别玻璃心的出来蹦跶了，自己对号入座就是存心找架吵！要骂就去骂你们的政府,1月27日 05:05,139.0,说传人说封城控制跑能活放弃家园计划听政府指挥乖乖在家说人性至此人性全中国陪葬武汉玻璃心蹦跶对号入座找架吵骂骂政府,NaN,0,0.999994
大部分省的大多数确诊都是都是20号后跑去旅游的吧？给这种人洗什么？难道你们就是跑出去的人,1月27日 08:06,98.0,大部分省确诊20号跑旅游人洗跑出去,NaN,0,0.99926
很多武汉人说这个事情，在他们心里都是统一的说，跑出来的没有一个本地人，全部都是外地的和学生，他们本地人是一个都没往外跑，然后前几个省被隔离的，特别是有症状了还在外面玩的旅游的往人多的地方串的，全部都是武汉本地人，相反真的外地回家过年的惹出病例的比例倒小很多，而我最不满的就是这个,1月27日 10:05,105.0,武汉说事情统一说跑本地人全部都是外地学生本地人没往外跑前几个省隔离症状外面玩旅游地方串全部都是武汉本地人真的外地回家过年惹出病例比例倒,NaN,0,0.813288
三十万大多数的也是回了湖北省的，你看看湖北省的，再看看其他省的，你心里就平衡多了,1月27日 00:28,72.0,三十万回湖北省湖北省省平衡,NaN,2,0.593637
你肯定没好好看吧博主说了那些人就是该被千夫所指的她没有为那些人开脱啊,1月27日 02:26,72.0,肯定好好看吧博主说千夫所指开脱,NaN,0,0.968751
30万大部分是外地大学生和打工人员，别人要回家过年啊！我们准备出去旅游的武汉人几乎都退了票,1月27日 00:34,70.0,30万大部分外地大学生打工人员回家过年旅游武汉退票,NaN,0,0.94959
我刚才听说有些不知情的时候出去玩的武汉游客，之前被酒店拒绝，现在有了定点酒店自己又不愿意入住了，怕别的入住的武汉游客有病毒，真的是……服气了！这种人真不值得同情……,1月26日 23:59,293.0,听说不知情出去玩武汉游客酒店拒绝定点酒店入住入住武汉游客病毒真的服气人真值得同情,NaN,0,0.998433
不是我说，武汉人就天生不怕被感染了吗？那些不知情出去了的跟你一样也怕被携带病毒的传染，你把这些有病没病的都打包住在一起，你都不愿意和他们在一个城市，没病的人又怎么愿意和他们住隔壁这时候不是用地名区分，而是有病的和没病的（愿疫情控制，带病者不要到处跑，生病的早日康复）,1月27日 03:21,48.0,说武汉天生感染不知情携带病毒传染有病没病打包住在一起城市没病住隔壁这时候地名区分有病没病愿疫情控制带病到处跑生病早日康复,NaN,0,0.997928
你听说，我听说，他听说，不要带节奏了，安安稳稳在家待着，不要互相掐了,1月27日 10:49,17.0,听说听说听说节奏安安稳稳在家掐,NaN,1,0.54555
这种情况难道不该怕吗他们也是受害者啊也害怕的呀,1月27日 02:50,22.0,情况不该受害者害怕,NaN,0,0.999544
可怜之人必有可恨之处,1月27日 07:33,6.0,可怜之人必有可恨处,NaN,0,0.994945
但是都带着口罩互相注意，隔离起来，不是就可以隔绝了吗？（我没有要杠的意思，不懂就要问，因为我们现在不都是互相隔离在家😂不让走动吗？说切断传染源）,1月27日 09:31,5.0,口罩隔离隔绝要杠懂问隔离在家😂不让走动说切断传染源,NaN,NaN,NaN
能说你这样话的也是自私利己的。将心比心是你你愿意跟有可能肺炎的住一个酒店啊,1月27日 23:26,5.0,说话自私利己将心比心肺炎住酒店,NaN,0,0.99978
我们这还有发着烧不去医院，一路买药一路玩的人，躲排查，感觉不要命了,1月27日 12:09,6.0,发着烧医院一路买药一路玩躲排查感觉不要命,NaN,0,0.988813
真的是无语¡评论配图,1月28日 22:11,1.0,真的无语¡评论配图,NaN,NaN,NaN
看看奇葩¡评论配图,1月28日 22:09,1.0,奇葩¡评论配图,NaN,NaN,NaN
我朋友圈有个人22号非要回武汉过年。还一路得瑟定位。回去了今天还在外面逛。还发朋友圈说她卖的哪个阿胶糕和祛湿茶能治肺炎。我无语了。不知道该骂什么了。还没删她。因为还等着看她什么时候回深圳立刻举报。她觉得她哪个阿胶糕万能的估计也没自觉性去隔离,1月27日 23:42,4.0,朋友圈22号非要回武汉过年一路得瑟定位回去外面逛还发朋友圈说卖阿胶糕祛湿茶能治肺炎无语骂删回深圳举报阿胶糕万能估计自觉性隔离,NaN,0,0.999644
太烦了，因为武汉人大量跑到重庆，现在重庆都成海尔兄弟了。。,1月27日 23:20,3.0,太烦武汉跑重庆重庆成海尔兄弟,NaN,0,0.993462
简单说就是不许其他地方人民歧视，自己非常歧视,2月22日 08:13,无,简单说不许地方歧视歧视,NaN,0,0.990541
健康人不愿意跟疑似感染者住一起有问题吗?他们进隔离酒店是支持抗议，轮得到你来同情?,2月15日 20:52,无,健康人疑似感染者住进隔离酒店支持抗议轮同情,NaN,0,0.99848
是真的..我朋友圈有一个，19号离开武汉，然后病情爆发以后被酒店拒绝入住，但是她自己也不愿意去隔离酒店,1月27日 22:40,7.0,真的朋友圈19号离开武汉病情爆发酒店拒绝入住隔离酒店,NaN,0,0.931283
我们理解许多老百姓一开始都是觉得感冒而已，也理解武汉作为中转，人口流动巨多，不责怪普通老百姓，只是责怪当地zf还有那些明知道自己是却还跑的人,1月26日 23:08,4771.0,理解老百姓感冒理解武汉中转人口流动巨多责怪老百姓责怪zf明跑,NaN,0,0.907253
我们理解许多老百姓一开始都是觉得感冒而已，也理解武汉作为中转，人口流动巨多，不责怪普通老百姓，只是责怪当地zf还有那些明知道自己是却还跑的人,1月26日 23:08,4771.0,理解老百姓感冒理解武汉中转人口流动巨多责怪老百姓责怪zf明跑,NaN,0,0.907253
感动，实际上我们一直接受到信息是，不会人传人，无新增病历………,1月26日 23:49,317.0,感动实际上接受信息传人新增病历,NaN,2,0.982053
真的怪政府！我1.15号从浙江回汉，仍然没有新闻说这个事，所以没带口罩，我现在在家担心了一个星期，毕竟火车站啊！汉口火车站离华南海鲜市场仅两公里！现在想想都后怕！,1月26日 23:53,219.0,真的政府1.15号浙江回汉新闻说事没带口罩在家担心星期火车站汉口火车站华南海鲜市场两公里想想后怕,NaN,0,0.998707
谢谢理解现在看到这种话太感动了,1月26日 23:46,60.0,谢谢理解话太感动,NaN,2,0.999724
楼主说的很中肯，在武汉的人最难熬了谁都不想这样。一层有点以偏概全，,1月27日 02:53,66.0,楼主说中肯武汉难熬不想一层以偏概全,NaN,2,0.671766
没有确诊人传人的时候大家都很淡定没那个意识就算知道人传人绝大多数人也不知道会这么厉害爆发应该是21往后了数字越来越多...,1月27日 01:47,45.0,确诊传人很淡意识传人绝大多数厉害爆发21往后数字越来越,NaN,0,0.979218
是的，我1月16日回武汉，一切正常，路人没什么人戴口罩，如果早点公布，我们身边很多人根本不会回武汉过年,1月27日 08:19,20.0,月16日回武汉一切正常路人没什么戴口罩早点公布身边回武汉过年,NaN,0,0.93891
图片评论¡评论配图,1月27日 02:27,22.0,图片评论¡评论配图,NaN,NaN,NaN
对的，主要是政府不作为。要是早上报，早隔离，早封城哪能遍布全国啊,1月27日 04:51,21.0,政府早上报早隔离早封城哪能遍布全国,NaN,0,0.99743
你这话说的一点没毛病,1月26日 23:45,13.0,这话说一点毛病,NaN,0,0.986469
确实是这样，不是武汉人，但特别能理解,1月27日 00:04,9.0,确实武汉特别理解,NaN,1,0.542825
唉不是所有武汉人都那么混蛋我舍友作为武汉人她们全家包括亲戚都没有走动老实家里蹲她们承受的压力也很大,1月27日 09:17,6.0,武汉混蛋舍友武汉全家包括亲戚走动老实家里蹲承受压力很大,NaN,0,0.987364
我从一开始听到之后开始担心，然后几次听到武汉政府和专家说不会人传人，目前未发现人传人，可防可控，才放心让家人回到湖北，直到钟南山院士说了确定人传人之后开始恐慌，但是那时候该回家的已经回家了，在武汉的学生也都回家了，我真的不懂，关系全国人民的安危，怎么可以就这么不负责任地随口一说,1月27日 09:17,8.0,听到担心几次听到武汉政府专家说传人未发现传人防可控放心家人回到湖北钟南山院士说传人恐慌回家回家武汉学生回家真的懂关系全国安危不负责任随口一说,NaN,0,0.982532
对！我家附近有人20号还从武汉回来，而且还不让别人说，还好当地政府出面啦，我们谴责的是这些人,1月27日 08:48,3.0,我家有人20号武汉回来不让说还好当地政府出面谴责,NaN,0,0.979192
